Date/Time,Word Count,en,ru
2023.03.29-20.05.49,1,1,0
2023.03.29-20.15.37,9,9,1
2023.03.29-20.16.49,9,9,9
2023.03.30-20.10.04,0,0,0
2023.03.30-20.10.35,73,73,0
2023.03.30-20.19.49,73,73,67
2023.03.30-20.20.24,73,73,73
2023.03.30-20.21.23,74,74,73
2023.03.30-20.22.10,74,74,74
2023.03.30-20.28.07,78,78,74
2023.03.30-20.29.06,78,78,78
2023.03.30-20.31.29,80,80,78
2023.03.30-20.32.35,80,80,80
2023.03.30-20.33.37,82,82,80
2023.03.30-20.34.07,82,82,82
2023.04.01-03.36.16,86,86,82
2023.04.01-03.37.20,86,86,86
2023.04.18-00.07.27,111,111,86
2023.04.18-00.14.48,111,111,109
2023.04.18-00.15.51,109,109,109
2023.04.18-00.19.11,111,111,109
2023.04.18-00.19.49,111,111,111
2023.04.20-20.48.20,111,111,109
2023.04.20-20.51.03,111,111,111
2023.04.20-20.51.59,111,111,109
2023.04.20-20.52.30,111,111,111
